Wavelength_nm,n,k
990,2.007028,1.62967E-2
991,2.006948,1.62717E-2
992,2.006868,1.62468E-2
993,2.006789,1.6222E-2
994,2.00671,1.61973E-2
995,2.006631,1.61726E-2
996,2.006553,1.61481E-2
997,2.006475,1.61236E-2
998,2.006397,1.60992E-2
999,2.006319,1.60748E-2
1000,2.006242,1.60506E-2
1001,2.006165,1.60264E-2
1002,2.006088,1.60024E-2
1003,2.006011,1.59783E-2
1004,2.005935,1.59544E-2
1005,2.005859,1.59306E-2
1006,2.005783,1.59068E-2
1007,2.005708,1.58831E-2
1008,2.005632,1.58595E-2
1009,2.005557,1.5836E-2
1010,2.005483,1.58125E-2
1011,2.005408,1.57892E-2
1012,2.005334,1.57659E-2
1013,2.00526,1.57426E-2
1014,2.005186,1.57195E-2
1015,2.005113,1.56964E-2
1016,2.00504,1.56734E-2
1017,2.004967,1.56505E-2
1018,2.004894,1.56276E-2
1019,2.004822,1.56048E-2
1020,2.00475,1.55821E-2
1021,2.004678,1.55595E-2
1022,2.004606,1.55369E-2
1023,2.004535,1.55144E-2
1024,2.004463,1.5492E-2
1025,2.004393,1.54697E-2
1026,2.004322,1.54474E-2
1027,2.004251,1.54252E-2
1028,2.004181,1.54031E-2
1029,2.004111,1.5381E-2
1030,2.004041,1.5359E-2
1031,2.003972,1.53371E-2
1032,2.003903,1.53152E-2
1033,2.003834,1.52934E-2
1034,2.003765,1.52717E-2
1035,2.003696,1.52501E-2
1036,2.003628,1.52285E-2
1037,2.00356,1.5207E-2
1038,2.003492,1.51855E-2
1039,2.003424,1.51641E-2
1040,2.003357,1.51428E-2
1041,2.00329,1.51216E-2
1042,2.003223,1.51004E-2
1043,2.003156,1.50793E-2
1044,2.003089,1.50582E-2
1045,2.003023,1.50372E-2
1046,2.002957,1.50163E-2
1047,2.002891,1.49954E-2
1048,2.002825,1.49746E-2
1049,2.00276,1.49539E-2
1050,2.002695,1.49332E-2
1051,2.00263,1.49126E-2
1052,2.002565,1.48921E-2
1053,2.0025,1.48716E-2
1054,2.002436,1.48512E-2
1055,2.002372,1.48308E-2
1056,2.002308,1.48105E-2
1057,2.002244,1.47903E-2
1058,2.002181,1.47701E-2
1059,2.002117,1.475E-2
1060,2.002054,1.47299E-2
1061,2.001991,1.47099E-2
1062,2.001928,1.469E-2
1063,2.001866,1.46701E-2
1064,2.001804,1.46503E-2
1065,2.001742,1.46305E-2
1066,2.00168,1.46108E-2
1067,2.001618,1.45912E-2
1068,2.001556,1.45716E-2
1069,2.001495,1.45521E-2
1070,2.001434,1.45326E-2
1071,2.001373,1.45132E-2
1072,2.001312,1.44938E-2
1073,2.001252,1.44745E-2
1074,2.001192,1.44553E-2
1075,2.001131,1.44361E-2
1076,2.001071,1.4417E-2
1077,2.001012,1.43979E-2
1078,2.000952,1.43789E-2
1079,2.000893,1.43599E-2
1080,2.000834,1.4341E-2
1081,2.000775,1.43221E-2
1082,2.000716,1.43033E-2
1083,2.000657,1.42846E-2
1084,2.000599,1.42659E-2
1085,2.000541,1.42473E-2
1086,2.000482,1.42287E-2
1087,2.000425,1.42101E-2
1088,2.000367,1.41917E-2
1089,2.000309,1.41732E-2
1090,2.000252,1.41549E-2
1091,2.000195,1.41365E-2
1092,2.000138,1.41183E-2
1093,2.000081,1.41E-2
1094,2.000025,1.40819E-2
1095,1.999968,1.40638E-2
1096,1.999912,1.40457E-2
1097,1.999856,1.40277E-2
1098,1.9998,1.40097E-2
1099,1.999744,1.39918E-2
1100,1.999689,1.39739E-2
1101,1.999633,1.39561E-2
1102,1.999578,1.39384E-2
1103,1.999523,1.39207E-2
1104,1.999468,1.3903E-2
1105,1.999413,1.38854E-2
1106,1.999359,1.38678E-2
1107,1.999304,1.38503E-2
1108,1.99925,1.38328E-2
1109,1.999196,1.38154E-2
1110,1.999142,1.3798E-2
1111,1.999089,1.37807E-2
1112,1.999035,1.37634E-2
1113,1.998982,1.37462E-2
1114,1.998928,1.3729E-2
1115,1.998875,1.37119E-2
1116,1.998822,1.36948E-2
1117,1.99877,1.36778E-2
1118,1.998717,1.36608E-2
1119,1.998665,1.36438E-2
1120,1.998612,1.36269E-2
1121,1.99856,1.361E-2
1122,1.998508,1.35932E-2
1123,1.998457,1.35765E-2
1124,1.998405,1.35597E-2
1125,1.998354,1.35431E-2
1126,1.998302,1.35264E-2
1127,1.998251,1.35099E-2
1128,1.9982,1.34933E-2
1129,1.998149,1.34768E-2
1130,1.998099,1.34604E-2
1131,1.998048,1.34439E-2
1132,1.997998,1.34276E-2
1133,1.997947,1.34113E-2
1134,1.997897,1.3395E-2
1135,1.997847,1.33787E-2
1136,1.997798,1.33625E-2
1137,1.997748,1.33464E-2
1138,1.997698,1.33303E-2
1139,1.997649,1.33142E-2
1140,1.9976,1.32982E-2
1141,1.997551,1.32822E-2
1142,1.997502,1.32663E-2
1143,1.997453,1.32504E-2
1144,1.997405,1.32345E-2
1145,1.997356,1.32187E-2
1146,1.997308,1.32029E-2
1147,1.99726,1.31872E-2
1148,1.997211,1.31715E-2
1149,1.997164,1.31559E-2
1150,1.997116,1.31403E-2
1151,1.997068,1.31247E-2
1152,1.997021,1.31092E-2
1153,1.996973,1.30937E-2
1154,1.996926,1.30782E-2
1155,1.996879,1.30628E-2
1156,1.996832,1.30474E-2
1157,1.996785,1.30321E-2
1158,1.996739,1.30168E-2
1159,1.996692,1.30016E-2
1160,1.996646,1.29864E-2
1161,1.996599,1.29712E-2
1162,1.996553,1.2956E-2
1163,1.996507,1.2941E-2
1164,1.996461,1.29259E-2
1165,1.996416,1.29109E-2
1166,1.99637,1.28959E-2
